date,amount
2006-09-25,0.177
2006-12-22,0.251
2007-03-26,0.184
2007-06-25,0.191
2007-09-24,0.217
2007-12-20,0.281
2008-03-25,0.22
2008-06-24,0.281
2008-09-24,0.268
2008-12-22,0.257
2009-03-25,0.276
2009-06-24,0.231
2009-09-24,0.231
2009-12-22,0.241
2010-03-25,0.225
2010-06-24,0.25
2010-09-24,0.267
2010-12-22,0.306
2011-03-25,0.272
2011-06-24,0.283
2011-09-23,0.285
2011-12-21,0.332
2012-03-26,0.272
2012-06-25,0.317
2012-09-24,0.323
2012-12-20,0.498
2013-03-22,0.288
2013-06-24,0.345
2013-09-23,0.357
2013-12-20,0.398
2014-03-24,0.329
2014-06-23,0.408
2014-09-22,0.39
2014-12-18,0.458
2015-03-23,0.459
2015-06-26,0.442
2015-09-23,0.443
2015-12-23,0.475
2016-03-21,0.41
2016-06-21,0.446
2016-09-13,0.393
2016-12-22,0.577
2017-03-29,0.425
2017-06-21,0.518
2017-09-20,0.43
2017-12-21,0.546
2018-03-26,0.397
2018-06-28,0.566
2018-09-26,0.498
2018-12-17,0.577
2019-03-28,0.51
2019-06-17,0.473
2019-09-24,0.552
2019-12-18,0.599
2020-03-26,0.474
2020-06-29,0.601
2020-09-29,0.558
2020-12-21,0.664
2021-03-22,0.513
2021-06-21,0.675
2021-09-20,0.7
2021-12-20,0.773
2022-03-21,0.694
2022-06-21,0.695
2022-09-19,0.715
2022-12-20,0.869
2023-03-24,0.749
2023-06-29,0.773
2023-09-28,0.771
2023-12-21,0.916
2024-03-22,0.769
2024-06-28,0.899
2024-09-27,0.835
2024-12-23,0.876
2025-03-27,0.938
2025-06-30,0.871
2025-09-29,0.865
2025-12-22,0.884
2026-03-27,0.833
2026-06-26,0.999
